agree karnavati far better name ahmedabad,1,1
always wanted try meditation damn impatient focused often troubled worry anxiety,-1,-1
pro muslim dali,0,0
congress la suspended maharashtra assembly year haha,1,0
expected fallout govt hindu nationalist root blame slightest lynching attack free speech divide gotten deeper story trump rise given platform ignorant moon left wing extremist political party steeped much identity politics bound create headline,-1,0
indian election always economy corruption except india gandhi emergency change central government yet none political party seem granted idea hum kia hus hoon iaaf kirke band date hai,0,-1
mixtape actress leak wil amazing quality,1,1
vyapam scam resolved time next year indian football team yet miss fifa world cup qualification huge increase internet penetration ten million porn banned judicial system country still joke many indian able treat simple infection bacteria resistant anti biopic new generation mutant indian form try take government led rahul baba,1,0
aae din haber sunny mil raja hai kya raja hai damage sama,0,0
abbr kya admire kar race i home paper hai paper raga,0,1
hai log forget maduro,0,0
yet see rahul promise budget neutral meaning impact subsidy useless,-1,0
congress general secretary uttar pradesh east priyanka gandhi vara hold roadshow uttar pradesh ayodhya ani follow live update,1,0
congress promise,0,0
congress chief spokesperson randeep surjewala said prime minister like flop film actor making acronym name opposition political party compare liquor,0,1
add amount spent printing new note watch bharat note nothing blatant advertisement,-1,0
fuck congress india pilot,-1,-1
haha slowly india turning usa get ready pointless fight liberal conservative side politician businessmen bank rule country please glad see indian falling divide rule policy india country indian brother sister importantly idiot bharat mata jai,1,1
happy trust come true man formidable mind standard high detractor well wish trust,1,1
india banana republic trying masquerade constitutional democracy,0,0
saw sky sport setting camera artman point right outside mumbai indian living guess ipl open,1,0
make want commando capture guy drag jungle rape day mutilated butt hole wait start cry tape whole thing upload youtube,1,-1
even unse sanction committee doc htm aria tasmania chief coordinator listed entity lashkar tayyiba let dealing outside organization provided significant support let terrorist operation tasmania worked let facilitate terrorist attack include july train bombing mumbai india february samoa express bombing panipat india,1,-1
oregonian hoping california self deport woman handing maybe build wall,0,1
social medium become platform abuse,1,-1
stain ridiculed hindu hindu culture tamil like kept mouth shut,-1,0
sting known alias leader wing organization,0,0
thanks putting together talking friend tulsa last night hindu nationalist thing came actually able walk attack smear look info cheer hard work,1,1
first question journalist asked take picture speech jai,1,0
moment realize live like parent fuck need life,-1,0
stinging indictment think pretty much everything corruption unemployment inflation inequality pollution terrorism gotten worse source,1,-1
congress explained chief sarawak today upa govt didnt give permission tweet show country real face congress,1,0
nationalist say,0,0
new space council wonder trump want export american capitalism unknown realm,1,0
without vision say congress done nothing year without govt help tech got developed taking credit backing test way due credit go imp,-1,0
wonder distinguished style deep voice ask audience election speech people know answer question abandoned development promisescompletely,0,-1
eccentric personality cautious,0,0
