angry death school child local resident vandalised school beat teacher set ablaze chair bench wow,-1,-1
kind like rahul gandhi said year ago would work promoting democracy youth system within congress intention ambition run future gandhi set become congress bos contest unlikely from home lateststories,-1,1
pakistan iran khan pulwama attack open probe retaliate india attack terror attack iran khan pakistan india ref japan killed,-1,-1
prefer incompetence tyranny,0,-1
probably get bail process resume next election another election jump likely,1,0
tax upto lakh per annum tax slab plus deduction,0,0
ease business index ease getting electricity index un govt index globalization index,0,1
incoming,0,0
address nation shortly announce national abuse neighboring country,0,-1
congress game clear,-1,1
thanks paper showing cheapest,1,1
congress haat sake swath,0,0
congress promised direct benefit transfer farmer lok sabha poll manifesto didnt,1,1
congressional jail gay supply burial congress,0,0
every demography support congress antinationals since responsible spread islamxtianityseparatist tendenciesminority appeasementantihindu policiesdivide ppl communal feeling instead one whole national song like divisiveness,1,1
fair everything fair including money,1,1
fugitive diamantaire set appear westminster magistrate court london today legal team make second bail application,1,1
indeed chowkidar reduced people poverty rahul gandhi suratgarh,0,-1
considered breakthrough par pokhran test guess vajpayee india gandhi shouldnt announced either,0,0
proved yet soil scam done congress well proved time important thing done would say better luck next time,1,1
marine one slap canton ali hindu icon hai tezpratap,0,1
nav stay jail court reject bail plea,-1,-1
paid medium aap exposed congress team,0,0
perhaps correlate successful outreach country,1,1
political party continue compete mostly glamour messy thing internal practice democracy provided one selfproclaimed nationalist party allowed shut politics altogether,-1,1
preparing return favor esp prev hung assembly majority nda yet get first call,-1,1
rahul gandhi trying promise poor indian also in,-1,-1
seek bail london court hearing today,0,0
shell digit,0,0
talked mustard ali,0,0
indian voter wish rahul happy holidaying italy may,1,1
totalitarian,0,-1
vote new bharat,1,0
well batted kuldeep,0,1
well said incident,0,1
legend he setting example quality reflect within leadership statement say,0,0
yes think kicking gandhi seriously inventing lesson hopefully learned time round would improve party significantly ideal world though mind would consider realistically would probably wind voting independent candidate,1,1
say cbn development landed,1,0
