alright whenever people look belgium art work canvas gonna remember tiny fearless group warrior fought tooth nail tyrannical force colony aided better party belgium look,0,1
democracy bhi koi seems hot hai modi,0,0
modi come ask wing commander abi back going pissed,0,-1
everyday see someone admit make best political decision awesome man,1,1
month employment left earned money fame portraying underdog anti establishment joke though one liner good every joke life nobody going listen anti modi shit next year also went iit kharagpur professor told get half way show,1,0
sound like modi saying choice voting,-1,1
supporter aap think need help,0,1
proposal debated parliament wednesday guess debate would went however contribution political party company made cheque bank draft electronic mean company also disclose total amount donated anyone explain,-1,1
think bjp minister uneducated liar,0,-1
think time taking huge gamble bjp figure,1,1
war reach,0,-1
lost season honestly gave decided wait lcs start could catch change perfect someone like thanks,1,1
think brother sister life lucha approved lifestyle think enjoy one lucha promoting goon enter bar drinking keep highlighting bad bjp already know show good option gladly support,1,1
bjp get seat prime minister narendra modi arab swami tune watch interview,1,0
want first action modi overhanging judiciary,1,0
modi government,0,0
watching national debate channel anchored nika nika mentioned lakh opposition talking medium people mention heard speech modi top medium house must recording show,1,0
average fiscal deficit growth rate modi lower reported manmohan sings tenure paid,-1,-1
man named haven kumar yadav arrested jaipur sedition charge thursday facebook post seeking contract kill narendra modi,0,-1
dil ethno har hat modi,0,0
hanging daily india kill traitor indian muslim world see neither modi asked medium replying belong extremist ideology manuwaad even dislike talking muslim,0,-1
aaj modi hai credit,0,1
abe chutiyemodi speak pulwamamaybe death next rayon ballot the spoke lot ralliesand he representative give india stance globe jobbecoz almost lk nuclear capacity hav give msg intl community,0,-1
abe ghonchu time better fighting term turf like lick modi boot day day,1,1
time modi vowed effort shut ngt perhaps get lifeline,-1,0
action modi admin hai sub automatically legal hai,1,0
edit metal kanal kara indian comedian enjoy,1,1
farmer former bef japan contest modi varanasi,0,0
election modi join isbn samachar program,0,0
family ruled year modi responsible poverty creating rich poor india prey ppl dot fell,1,0
modi marker nda govt best narendra modi best prime minister india,1,1
modi sarkaar because theydid get black money promised,-1,1
agreed modi lose gandhi,0,0
ahead end modi force nation make quick assessment net asset value last minute,1,1
air india decided roll back boarding pass bearing photograph prime minister narendra modi airline earlier said pass would withdrawn found violation model code conduct,0,-1
airforce said hit target precision raw every indian intelligence knew ballot terror camp decade sub reg tdptrs supp hatred modi doubting iai,-1,-1
akhilesh citizen support new india fighting corruption dirt terrorism poverty pledge support chowkidar india modi building new india strong secure prosperous,1,0
bjp worker work united till election dont depend upon modi leader also worker earlier seat lost cong state due confidence dont sit idle,-1,1
criminal please dont steal dont lie dont cheat modi government hate competition,0,-1
election commissioner must got share keep quite whatever modi shame,0,0
mahagathbandhan oust modi,0,0
india majliseittehadul muslimeen admin chief questioned modi slept eating beef bryan ref men died via,0,-1
lds till year strength work never got involved help winner parent voted work help govt provided modi claimed chest worked begging vote selling tshirtscaps,1,1
people fully employed inflation corruption bigger issue job yes fact issue simple dynasty modi common man aware,1,1
best modi people mistake selecting non worthy leader drag back india year let matured select bjp bjp made india feel proud nationally international forum well,1,1
upa era self designated super economist drawing knife modi policy read those saying finance commission reject spl status state raghuram raja say growth claimed modi doubtful create job fake economist,-1,0
always found bit fraud used permanent fixture debate rolling bucket load modi,0,-1
red color none bloodseeker running,-1,0
hope hindustan take country field scientific technology coming day possible modi another yr jai hind,-1,1
ive heard say course well scrutinizefact check statement modi come saudi person prefer take dump,0,0
leaving behind decisive past country march towards bright prospective future let vote stronger decisive leadership boycott pretender,1,1
and mein kana raja modi better personal view,1,1
answer modi make sat announcement,0,0
anti modi antiindia general live,1,-1
antibody anti bjp antic dare call antiindia,0,-1
anupam sir support modi,0,1
one scientist mission could done announcement success modi government way,-1,1
apology done think bjp sack ram madman immediately insulted second highest constitutional office,0,-1
safe hand modi sir great job,1,1
stopping apparently black border belgium seriously need open line communication belgium someone talk come mutually agreed upon border,-1,0
