almost modi moment,0,0
apple globally famous based company manufacturer iphone relevance incident,1,0
childhood modi mit shah,0,0
debut ghost plane theory plane make turn new coords input never heard one automatically speeding,1,0
feel nice find cyber attack ransomware non state actor attacking state machinery problematic criminal regardless whether victim perpetrator,1,-1
lost container another ethnic group still college student matter though,0,0
love find shocking lot thing ignored newspaper seriously except lot rubble rousing,-1,0
sorry surprised bjp opposed debate sec someone claiming bjp supporter clueless bjp also think bjp want make mosque yes mosque ram janambhoomi,-1,1
final solution make sharma youtube link la feature youtu,0,0
something bjp gov would ever doesnt ring image least,-1,0
thought bjp coming power solve water electricity problem change intact water le emi still despite rbi dropping interest rate inflation literally burning hole pocket see news thief sorry mean corporate getting fucking tax break going holiday seychelles wearing expensive suit wtf like gov animated project called eliminate middle class one thing beef ban caused people eat beef,-1,-1
tvotebjpfor anyway swamp much regard taken seriously,-1,0
planning picking magna modi week glad,1,1
modi always wear saffron serious question vote please give rational response,-1,0
farmer telangana also contesting modi varanasi stated back modi hears demand,-1,0
english respect modi intro handle parent oppressor sent school collage become engineer didnt wanted today hate making life easy hijab oppression guy since year,-1,1
april modi marker shoot marker first last fool day main,1,-1
bjp got crop vote may crop upper class hindu use nota,0,0
manga like theme nirbhaya happened every citizen india white collared job modi made unemployed average indian wake asshole like sorry tutti,-1,1
way people responding well modi,0,0
scrapped thats modi pic long rally finished stop spreading communal hatred,-1,-1
aah saw recent tweet complaining man instead finding solution people complain complain complain big population care plenty useless chap like conversation complaining people like found last modi win,1,1
cache din possible terrorist ruling roost wipe terrorism acre din avenge modi mantra,0,-1
according bjp sang modi face doesnt leave impression thug conan face first instant still raise issue really doesnt look even acting skill baht likhvate year,1,0
accusation political let declared guilty people feel shame praising convicted crook modi,-1,-1
actor madhavan offer support modi urge voter cast vote election get rolled liberal,1,1
edit rao result bjp seat nda seat filmmaker urge people vote modi guess result,0,0
agenda modi new india building infrastructure improving defence improving economy agenda citation team stopping modi personal agenda become political agenda,1,1
ani missletejasbhramos made near india modi painting renaming tum push yahoo,-1,0
agree last line would like add suitable word everyone opposed modi liberal logical loyal india,1,1
indian politicised pulwama ballot,0,0
insignificant unknown individual join together create sham movement min fame using name people used corruption slavery prejudice life bound scared modi,-1,-1
proud modi taking india ahead super power,1,1
cheat waiting government change come back prime minister narendra modi,0,-1
kicked post election modi driven,0,0
mentioned already done modi come power check economist predicted milk honey slowly silently withdrew predicted nobel prize,-1,1
already tested ordo another blunder modi,0,0
also questioned mode message nation,0,0
always modi marker,0,0
modi rejuvenated demonetisation,0,0
thousand karsevaks gathering ayodhya fuck bjp,-1,-1
think modi representative hindu sorry der difference normal hindu curia hindusbhajpaisanghi,-1,0
announces crore minimum scheme poor family india poll promise time bigger support scheme one announced modi govt pradhan mantra romana,-1,0
another scam could nya scam anyway expected cong came powernarega big scam came modi govtwho opened poor bank account andstarted transferring area payment accountsnyay scheme earn crore cover notebandi loss,-1,-1
guess modi say,0,0
say termed arrogance bjp barra chart modi without claim confidence wah dharma wah,-1,-1
thing modi,0,0
anything gone wrong mission guy would first blame modi forgetting scientist successful hurting even acknowledge one showed execute,1,-1
space superpower nowfuck jobsvote modi,0,0
are bhailogzara iso dinosaur humane are mein daldho modi credited,0,1
array year ine india voter bhi nazi hai share cast vote best modi wave kia kya hai vote share increase yoga,1,1
ashley tell writes mode foreign policy win,1,1
shin appears indirectly canvassing bjp shut addressed modi anyway shin must appreciated exposing power modi even caretaker remember ec conduct people surveillance symbol issue,1,0
ask modi show evidence investigate chowkidar,0,0
atleast good happening world,1,1
www really irritated modi work hard wont spared dont worry,1,-1
boat hai party fear existing candidate cant defeat modi bewaoof laga hair gay toh bhi okay meta tha profit,1,1
back switching watching credit away modi,0,1
bakchodi never revive thanks twitter itself bench poor din rahman khangress bad modi hindu emperor chart meta hai,-1,-1
careful dear voter people misleading modi came power country financial burden much improved vote raga country suffer financial crisis,1,-1
become fan mentor politics retreating commitment towards strengthening security nation modi said japan life risk cannot stay uninvolved told armed force make plan enough via namo app,0,1
best leader modi world,1,1
hai sir cant give help busy gathering vote modi,1,0
bjp release list candidate gujarat lok sabha election one candidate byelection tall assembly constituency ani report,0,0
bjp supporter say job opportunity india gotten worse last year pew research center survey,-1,0
bjp modi failed engine engine give growth destroy everything,-1,-1
boy insensitive comment make,0,0
brother ascetic working relentlessly beloved motherland comparing near modi true sense common man amassed money neither family member see wealth near family managed billion source,1,1
