accidentally listened npr like second morning way work saying sucked nonsense trump speaking indian instead previously must mean care india like possible maybe good stable relationship india atm trump handled pressing issue arranging meeting,1,1
slowly heading towards fascism hate comment much want sad truth,-1,-1
aws year free kuduthu modi valzhga,1,1
bjp minister backed men accused kata rape case resign bjp minister backed men accused kata rape case resign,0,-1
add point bank dad chief manager public sector bank municipal town based branch manager chief manager like pnas book either problem stem zonal level zonal manager assigns quarterly yearly loan target individual branch application larger possibly good loan forwarded zonal manager sit desk several week borrower usually move private bank left smaller loan application shaky applicant local politician want build school engineering college activist would threaten write happened lot era zonal management despite sloppy still expects branch manager meet target bm give loan hope would become npa get transferred live bomb passed new guy bit negotiation auditing team zonal management avoid declaring loan npa bunch quarter even want speak crazy one retire branch manager loading spree,-1,-1
christian agree would would produce list would consider minority appeasement someone would turn let wait list find stuff cannot accept would say hey human right would say appeasement secularism,1,0
contesting two constituency masterstroke shaky meth,-1,0
cutting bjp supporter life done fucking shit,-1,-1
guess name nuclear attack message sent modi via nuclear attack pak army,0,-1
mean number indianfood using cbd,-1,0
muslim friend mine support bjp far matter national interest concerned despised anti muslim image action view muslim around hate bjp tell kind crap ready sell believe come anti bjp apart whole circle friend family office colleague either support bjp nda ally still cautious happened,-1,1
parent starting travel trajectory want blame misguided information receive social medium used pretty open minded still issue showing early sign turning right especially father feel like punching talk muslim scary watching two well educated previously open minded individual turning right feel helpless change although positive side know fact never like scared turning person,1,1
say punjab mail name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger express train name regular passenger,0,0
sure rajnath singh sent video group patron bjp,1,0
think nav modi terrible programmer refuse comment,-1,-1
think smith iran better assault edit downvotes goodbye sub gone shift everyone take politics seriously especially dear leader whoever may,-1,0
every indian man garden politician would promise something like fact make outrageous promise entire country get public support eventually jackassery along,-1,1
vote modi bhi mil choke hai slip tung part nature dont take seriously loss yoga,-1,0
year modi lakh wisdom say better grab lakh lost party obama doha khan better hai isbn party basal chance,1,1
ina narendra modi repeated history upcoming loksabha election,0,0
